County,county_fips,vehicle_access,transit_dependence,road_density,score_M,mobility_category
Camden,37029,98.36,1.64,90.0,0.9856653061224487,High
Union,37179,97.35818181818182,2.641818181818182,98.72727272727273,0.9819549783549782,High
Alexander,37003,97.18142857142857,2.8185714285714285,90.0,0.9778081632653061,High
Gates,37073,97.17999999999999,2.82,90.0,0.9777986394557822,High
Currituck,37053,97.39999999999999,2.6,78.33333333333333,0.9752970521541949,High
Iredell,37097,96.43765957446809,3.562340425531915,96.80851063829788,0.9751655232305688,High
Madison,37115,96.58250000000001,3.4175,93.75,0.9750908163265306,High
Henderson,37089,96.42939393939395,3.5706060606060603,95.45454545454545,0.9746498866213151,High
Brunswick,37019,96.8490909090909,3.1509090909090913,85.45454545454545,0.9740465058750771,High
Polk,37149,96.81666666666666,3.183333333333333,85.55555555555556,0.97386470143613,High
Johnston,37101,96.14361111111111,3.856388888888889,93.88888888888889,0.9722121315192742,High
Cabarrus,37025,95.88368421052631,4.116315789473684,98.94736842105263,0.9721998567848191,High
Wake,37183,95.85349264705883,4.1465073529411764,99.375,0.9721440326130453,High
Burke,37023,95.92333333333333,4.076666666666667,97.5,0.9719718820861677,High
Chatham,37037,97.05565217391305,2.9443478260869567,75.21739130434783,0.9719415557527359,High
Caldwell,37027,95.76619047619047,4.233809523809524,98.0952380952381,0.9711267249757045,High
Randolph,37151,96.476,3.524,84.0,0.9710644897959183,High
Lincoln,37109,96.645,3.355,80.55555555555556,0.9710195767195766,High
Davidson,37057,95.8046,4.1954,96.0,0.9706701224489795,High
Haywood,37087,95.73230769230769,4.2676923076923075,94.23076923076923,0.969586394557823,High
Alamance,37001,95.47842105263157,4.521578947368421,97.36842105263158,0.9689610454708198,High
Stokes,37169,95.55882352941177,4.4411764705882355,95.29411764705883,0.9687915166066425,High
Transylvania,37175,95.91529411764705,4.084705882352941,86.47058823529412,0.9681667867146857,High
Franklin,37069,96.13,3.87,82.10526315789474,0.9681133548156104,High
Moore,37125,96.10435897435897,3.8956410256410257,81.7948717948718,0.967836839351125,High
Harnett,37085,95.85413793103449,4.145862068965517,85.51724137931035,0.9674348111658456,High
Pender,37141,96.39315789473685,3.606842105263158,74.73684210526316,0.9673614751163623,High
Gaston,37071,95.18590476190477,4.814095238095239,97.52380952380952,0.9670637900874635,High
Granville,37077,96.40352941176471,3.5964705882352943,67.6470588235294,0.9650191276510605,High
Dare,37055,97.1776923076923,2.822307692307692,49.23076923076923,0.9639161695447409,High
