county,population
"Alamance County, North Carolina",176893
"Alexander County, North Carolina",36412
"Alleghany County, North Carolina",11174
"Anson County, North Carolina",22289
"Ashe County, North Carolina",26950
"Avery County, North Carolina",17680
"Beaufort County, North Carolina",44499
"Bertie County, North Carolina",17170
"Bladen County, North Carolina",29566
"Brunswick County, North Carolina",152568
"Buncombe County, North Carolina",274360
"Burke County, North Carolina",87795
"Cabarrus County, North Carolina",236133
"Caldwell County, North Carolina",80536
"Camden County, North Carolina",10927
"Carteret County, North Carolina",69148
"Caswell County, North Carolina",22404
"Catawba County, North Carolina",163573
"Chatham County, North Carolina",80151
"Cherokee County, North Carolina",29562
"Chowan County, North Carolina",13836
"Clay County, North Carolina",11610
"Cleveland County, North Carolina",100991
"Columbus County, North Carolina",50140
"Craven County, North Carolina",102612
"Cumberland County, North Carolina",338545
"Currituck County, North Carolina",30601
"Dare County, North Carolina",37875
"Davidson County, North Carolina",172954
"Davie County, North Carolina",44122
"Duplin County, North Carolina",49335
"Durham County, North Carolina",332353
"Edgecombe County, North Carolina",48736
"Forsyth County, North Carolina",389977
"Franklin County, North Carolina",74386
"Gaston County, North Carolina",234881
"Gates County, North Carolina",10376
"Graham County, North Carolina",8072
"Granville County, North Carolina",60877
"Greene County, North Carolina",20486
"Guilford County, North Carolina",547940
"Halifax County, North Carolina",47675
"Harnett County, North Carolina",139150
"Haywood County, North Carolina",62662
"Henderson County, North Carolina",118484
"Hertford County, North Carolina",19908
"Hoke County, North Carolina",53835
"Hyde County, North Carolina",4592
"Iredell County, North Carolina",196544
"Jackson County, North Carolina",43771
"Johnston County, North Carolina",234263
"Jones County, North Carolina",9302
"Lee County, North Carolina",65816
"Lenoir County, North Carolina",54919
"Lincoln County, North Carolina",92716
"McDowell County, North Carolina",44817
"Macon County, North Carolina",37941
"Madison County, North Carolina",21867
"Martin County, North Carolina",21644
"Mecklenburg County, North Carolina",1154681
"Mitchell County, North Carolina",14992
"Montgomery County, North Carolina",26007
"Moore County, North Carolina",104876
"Nash County, North Carolina",96216
"New Hanover County, North Carolina",235229
"Northampton County, North Carolina",16931
"Onslow County, North Carolina",207906
"Orange County, North Carolina",149678
"Pamlico County, North Carolina",12390
"Pasquotank County, North Carolina",40834
"Pender County, North Carolina",65550
"Perquimans County, North Carolina",13244
"Person County, North Carolina",39542
"Pitt County, North Carolina",177193
"Polk County, North Carolina",19891
"Randolph County, North Carolina",146348
"Richmond County, North Carolina",42344
"Robeson County, North Carolina",116902
"Rockingham County, North Carolina",92131
"Rowan County, North Carolina",149875
"Rutherford County, North Carolina",64930
"Sampson County, North Carolina",59470
"Scotland County, North Carolina",33590
"Stanly County, North Carolina",64651
"Stokes County, North Carolina",45139
"Surry County, North Carolina",71425
"Swain County, North Carolina",14013
"Transylvania County, North Carolina",33691
"Tyrrell County, North Carolina",3423
"Union County, North Carolina",250958
"Vance County, North Carolina",42322
"Wake County, North Carolina",1178653
"Warren County, North Carolina",18795
"Washington County, North Carolina",10812
"Watauga County, North Carolina",55123
"Wayne County, North Carolina",118652
"Wilkes County, North Carolina",65935
"Wilson County, North Carolina",79290
"Yadkin County, North Carolina",37574
"Yancey County, North Carolina",18797
