"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","NC","North Carolina","Cabarrus","37025","37025041603","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","31.6",,,"24.2","39.7","4,992","3,751","POINT (-80.5334599 35.2309344)","37025041603","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Alamance","37001","37001020702","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","39.7",,,"32.1","47.7","5,063","3,903","POINT (-79.4583524 36.0624647)","37001020702","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Caldwell","37027","37027030600","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","30.9",,,"23.7","38.9","4,438","3,486","POINT (-81.4788172 35.8552621)","37027030600","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Caldwell","37027","37027031402","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","30.2",,,"23.3","38.1","3,519","2,795","POINT (-81.4066631 35.7730352)","37027031402","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Carteret","37031","37031970103","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.5",,,"27.7","43.8","2,689","2,262","POINT (-76.5410438 34.746682)","37031970103","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Carteret","37031","37031970504","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","31.0",,,"23.8","38.7","2,053","1,525","POINT (-76.7110611 34.750188)","37031970504","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Carteret","37031","37031970606","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","30.4",,,"23.4","38.3","3,471","2,968","POINT (-76.8143349 34.7305875)","37031970606","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Alamance","37001","37001020701","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.3",,,"27.9","42.9","5,018","4,142","POINT (-79.4810886 36.0698004)","37001020701","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Catawba","37035","37035010101","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","36.1",,,"28.6","44.0","6,170","4,959","POINT (-81.1370266 35.76899)","37035010101","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Catawba","37035","37035010600","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","38.0",,,"30.4","46.1","6,650","5,198","POINT (-81.3655745 35.74377)","37035010600","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Columbus","37047","37047930800","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","36.1",,,"28.6","44.5","3,934","3,126","POINT (-78.7323803 34.3802753)","37047930800","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Craven","37049","37049960302","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","40.4",,,"33.0","48.8","3,088","2,458","POINT (-77.3624857 35.238173)","37049960302","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","NC","North Carolina","Craven","37049","37049960404","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.8",,,"28.6","44.0","2,944","2,565","POINT (-77.1618042 35.0711096)","37049960404","HLTHOUT","OBESITY","CrdPrv","Obesity"
