"Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote",Latitude,Longitude
"Autumn Care Of Biscoe","401 Lambert Road",Biscoe,NC,27209,9104282117,141,99.8,,35.3659,-79.79
"Hillcrest Convalescent Center","1417 W Pettigrew Street",Durham,NC,27705,9192867705,86,78.1,,36.0047,-78.918
"Cypress Pointe Rehabilitation Center","2006 South 16th Street",Wilmington,NC,28401,9107636271,90,80.0,,34.21,-77.926
"Silas Creek Rehabilitation Center","3350 Silas Creek Parkway","Winston Salem",NC,27103,3367650550,90,78.3,,36.0751,-80.299
"PERSON MEMORIAL HOSPITAL","615 RIDGE ROAD",ROXBORO,NC,27573,3365035707,56,46.5,,36.407,-78.985
"Blumenthal Health and Rehabilitation Center","3724 Wireless Drive",Greensboro,NC,27455,8284592977,134,129.7,,36.12,-79.825
"The Citadel at Myers Park, LLC","300 Providence Road",Charlotte,NC,28207,7043341671,133,3.2,,35.2058,-80.824
"Bear Mountain Health and Rehabilitation","500 Beaverdam Road",Asheville,NC,28804,8282548833,77,68.7,,35.642,-82.529
"Pine Acres Center for Nursing and Rehabilitation","279 Brian Center Drive",Lexington,NC,27292,3362497521,106,101.5,,35.8003,-80.288
"Peak Resources - Charlotte","3223 Central Avenue",Charlotte,NC,28205,7047491100,142,123.1,,35.2167,-80.79
"Linden Place Center for Nursing and Rehabilitation","1201 Carolina Street",Greensboro,NC,27401,3365225700,105,87.8,,36.089,-79.79
"Clapp's Convalescent Nursing Home Inc","500 Mountain Top Drive",Asheboro,NC,27203,3366252074,96,88.0,,35.7095,-79.788
"Clapps Nursing Center Inc","5229 Appomattox Road","Pleasant Garden",NC,27313,3366742252,118,105.2,,35.9587,-79.757
"Royal Park Rehabilitation & Health Center","2700 Roal Commons Lane",Matthews,NC,28105,7048496990,169,139.6,,35.1143,-80.694
"Elizabeth City Health and Rehabilitation","1075 US Highway 17 South","Elizabeth City",NC,27909,2523383975,170,146.1,,36.2891,-76.262
"Summerstone Health and Rehabilitation Center","485 Veterans Way",Kernersville,NC,27284,3365153000,138,116.9,,36.1163,-80.092
"Saint Joseph of the Pines Health Center","103 Gossman Road",Pinehurst,NC,28374,9102461000,176,65.7,,35.187,-79.467
"The Foley Center at Chestnut Ridge","621 Chestnut Ridge Parkway","Blowing Rock",NC,28605,8283863300,92,81.0,,36.1499,-81.66
"Mountain Ridge Health and Rehab","611 Old US Highway 70 East","Black Mountain",NC,28711,8286699991,97,83.2,,35.6076,-82.312
"Raleigh Rehabilitation Center","616 Wade Avenue",Raleigh,NC,27605,9198286251,157,140.1,,35.7965,-78.65
"Jacob's Creek Nursing and Rehabilitation Center","1721 Bald Hill Loop",Madison,NC,27025,3365489658,170,148.4,,36.3619,-79.905
"Anson Health and Rehabilitation","405 South Greene Street",Wadesboro,NC,28170,7046953301,95,66.3,,34.9643,-80.077
"Pettigrew Rehabilitation Center","1515 W Pettigrew Street",Durham,NC,27705,9192860751,96,82.9,,36.0055,-78.92
"Woodhaven Nursing Center","1150 Pine Run Drive",Lumberton,NC,28358,9106715703,115,108.2,,34.6586,-78.99
Pruitthealth-Durham,"3100 Erwin Road",Durham,NC,27705,9193831546,125,101.1,,36.0041,-78.95
"Harmony Park at Wilson","1804 Forest Hills Road W",Wilson,NC,27893,2522378161,110,83.2,,35.7198,-77.952
