"year","month","state","handgun_unadjusted","long_gun_unadjusted","total_unadjusted","handgun_adjusted","long_gun_adjusted","total_adjusted"
2024,"01","Alabama",18985,15923,34907,21234,16601,37835
2007,"01","Alabama",10110,10888,20998,8739,11411,20150
2023,"01","Alabama",23177,16188,39365,26436,17513,43949
2009,"01","Alabama",14363,14674,29037,12990,15680,28669
2021,"01","Alabama",38644,27550,66194,45164,31921,77085
2014,"01","Alabama",14249,14710,28960,14627,16617,31244
2018,"01","Alabama",6578,7136,13714,7495,8520,16015
2016,"01","Alabama",28962,17236,46198,31346,19913,51259
2002,"01","Alabama",6882,9268,16149,6268,10446,16714
2004,"01","Alabama",7966,10536,18502,7035,11314,18349
2017,"01","Alabama",7753,7535,15288,8601,8896,17497
2022,"01","Alabama",20296,14904,35200,23495,16821,40316
2006,"01","Alabama",9074,11211,20285,7809,11795,19604
2019,"01","Alabama",7624,6344,13968,8898,7530,16428
2015,"01","Alabama",18733,15051,33784,19723,17017,36740
2001,"01","Alabama",8612,11211,19823,7932,12827,20759
2011,"01","Alabama",11678,11258,22936,11319,12790,24109
2003,"01","Alabama",7068,9760,16828,6343,10745,17087
2005,"01","Alabama",7990,10276,18267,6942,10890,17832
2026,"01","Alabama",15096,12865,27961,16376,12886,29262
2013,"01","Alabama",30461,25553,56014,30883,29134,60017
2010,"01","Alabama",10913,11658,22571,10177,12890,23066
2012,"01","Alabama",13749,12845,26594,13693,14800,28493
2000,"01","Alabama",8636,11350,19986,8006,13030,21036
2020,"01","Alabama",25837,14969,40806,30478,17627,48105
2008,"01","Alabama",10745,10582,21327,9447,11133,20580
2025,"01","Alabama",18928,16005,34933,20757,16224,36980
2005,"02","Alabama",8720,9670,18390,6939,10775,17714
2017,"02","Alabama",12368,8286,20655,9873,8640,18513
2021,"02","Alabama",24122,18684,42805,21744,20180,41924
2012,"02","Alabama",21270,16008,37278,15078,15520,30598
2008,"02","Alabama",11790,13686,25476,9108,14573,23681
2023,"02","Alabama",25737,16103,41840,23438,16889,40327
2000,"02","Alabama",9900,11659,21559,8041,13212,21253
2018,"02","Alabama",10681,8428,19109,8862,8991,17853
2003,"02","Alabama",8506,9821,18327,6815,10965,17780
2002,"02","Alabama",7820,8747,16567,6288,9822,16110
2013,"02","Alabama",27844,23001,50845,19782,22220,42002
2025,"02","Alabama",22360,14772,37132,20399,15470,35868
2006,"02","Alabama",9743,10624,20366,7728,11732,19460
2007,"02","Alabama",10645,10172,20816,8369,11082,19451
2004,"02","Alabama",8572,9907,18479,6835,11032,17867
2009,"02","Alabama",15357,14425,29782,11560,15009,26569
2010,"02","Alabama",15035,13026,28061,11043,13147,24190
2001,"02","Alabama",9796,11295,21090,7919,12768,20686
2020,"02","Alabama",28388,15123,43510,25060,16459,41519
2022,"02","Alabama",25390,17381,42771,23042,18376,41418
2019,"02","Alabama",9602,6384,15986,8266,6951,15217
2024,"02","Alabama",22688,16017,38705,20678,16704,37382
2026,"02","Alabama",17568,12150,29718,16014,12739,28752
2015,"02","Alabama",27127,16942,44069,20058,16780,36837
2014,"02","Alabama",22877,17079,39955,16491,16623,33114
2011,"02","Alabama",15853,13393,29246,11384,13196,24580
2016,"02","Alabama",33520,17838,51358,25629,18103,43732
2016,"03","Alabama",16447,10664,27112,13094,11334,24428
2005,"03","Alabama",8151,8860,17012,7154,10972,18126
2021,"03","Alabama",39901,24531,64432,31572,22377,53949
2013,"03","Alabama",23257,21369,44626,19206,22728,41934
2008,"03","Alabama",11462,12475,23937,9884,14217,24101
2011,"03","Alabama",13981,12224,26205,11637,12979,24616
2009,"03","Alabama",14256,14350,28606,12127,15759,27886
2012,"03","Alabama",18462,14381,32844,15351,15262,30612
2010,"03","Alabama",12881,12561,25442,10833,13454,24287
2020,"03","Alabama",40305,21553,61859,31428,19826,51254
2003,"03","Alabama",7576,8478,16053,6644,10613,17257
2025,"03","Alabama",23838,14995,38833,19977,14812,34789
2001,"03","Alabama",9262,10928,20190,8146,13582,21729
2019,"03","Alabama",11386,7479,18865,8818,7102,15920
2004,"03","Alabama",7550,8665,16215,6625,10845,17471
2018,"03","Alabama",11515,8924,20439,8950,8787,17737
2000,"03","Alabama",8850,10132,18982,7783,12618,20401
2014,"03","Alabama",19856,15293,35149,16305,16412,32717
2015,"03","Alabama",20462,14783,35245,16546,15924,32470
2023,"03","Alabama",26841,18070,44911,21911,16984,38895
2006,"03","Alabama",8733,9677,18410,7639,11754,19393
2022,"03","Alabama",31202,20215,51416,25101,18506,43607
2024,"03","Alabama",23903,16786,40689,19779,16197,35976
2002,"03","Alabama",7242,8474,15717,6353,10573,16926
2007,"03","Alabama",9607,9045,18653,8348,10713,19061
2017,"03","Alabama",12089,8072,20161,9476,8307,17783
2009,"04","Alabama",11339,9999,21338,12305,15432,27737
2017,"04","Alabama",8131,5484,13615,9161,7833,16994
2004,"04","Alabama",6269,6328,12597,6848,11197,18045
2020,"04","Alabama",33245,15162,48408,35654,19651,55305
2023,"04","Alabama",21923,14155,36078,22471,17382,39853
2001,"04","Alabama",6841,7217,14058,7633,13156,20789
2005,"04","Alabama",6541,6409,12949,7076,11269,18345
2007,"04","Alabama",8163,6217,14380,8780,10653,19433
2025,"04","Alabama",20068,12004,32073,20430,15069,35499
2018,"04","Alabama",7325,6073,13398,8195,8484,16679
2019,"04","Alabama",7686,5256,12942,8424,7088,15512
2022,"04","Alabama",23797,14909,38707,24643,18340,42983
2008,"04","Alabama",9105,8540,17645,9816,14001,23817
2012,"04","Alabama",13259,11134,24394,14654,15648,30302
2016,"04","Alabama",11169,8128,19297,12571,11620,24191
2014,"04","Alabama",15917,12004,27921,17740,16865,34605
2006,"04","Alabama",6603,6345,12948,7111,11098,18209
2003,"04","Alabama",6005,5834,11839,6611,10458,17069
2021,"04","Alabama",32806,19807,52613,34518,24736,59255
2013,"04","Alabama",17188,15112,32299,19059,21220,40279
2024,"04","Alabama",18726,12417,31143,19075,15497,34572
2010,"04","Alabama",10033,9338,19371,10974,13673,24647
2011,"04","Alabama",10723,9524,20247,11792,13533,25325
2000,"04","Alabama",7272,7247,14519,8154,13212,21367
2002,"04","Alabama",5602,5853,11455,6221,10600,16821
2015,"04","Alabama",17113,11481,28593,19126,16287,35413
2018,"05","Alabama",6598,5778,12376,7562,8356,15918
2021,"05","Alabama",24782,14617,39399,26971,20523,47494
2017,"05","Alabama",8258,5355,13612,9679,7882,17561
2015,"05","Alabama",17886,10628,28514,21266,16220,37486
2019,"05","Alabama",7469,4821,12290,8370,6885,15256
2003,"05","Alabama",5863,5705,11568,6853,10845,17698
2007,"05","Alabama",7824,5669,13494,9135,10399,19534
