County,pct_bachelors,pct_less_than_hs,education_net_score,education_score_normalized
Gates County,10.8,10.4,0.40000000000000036,0.16
Anson County,10.9,17.6,-6.700000000000001,0.05076923076923076
Greene County,12.2,22.2,-10.0,0.0
Washington County,12.2,14.4,-2.200000000000001,0.12
Hyde County,13.7,13.2,0.5,0.16153846153846155
Robeson County,14.6,21.1,-6.500000000000002,0.05384615384615382
Tyrrell County,14.7,19.5,-4.800000000000001,0.07999999999999999
Scotland County,14.8,17.6,-2.8000000000000007,0.11076923076923076
Columbus County,15.1,13.5,1.5999999999999996,0.17846153846153848
Martin County,15.1,16.7,-1.5999999999999996,0.12923076923076923
Alexander County,15.4,14.4,1.0,0.16923076923076924
Halifax County,15.5,19.1,-3.6000000000000014,0.09846153846153845
Lenoir County,15.8,17.5,-1.6999999999999993,0.12769230769230772
Sampson County,15.8,15.7,0.10000000000000142,0.15538461538461543
Yadkin County,15.8,13.5,2.3000000000000007,0.18923076923076926
Caswell County,16.0,16.3,-0.3000000000000007,0.14923076923076922
Rockingham County,16.1,15.6,0.5000000000000018,0.16153846153846158
Richmond County,16.2,15.8,0.3999999999999986,0.15999999999999998
Edgecombe County,16.7,15.6,1.0999999999999996,0.17076923076923078
Hertford County,16.7,15.3,1.3999999999999986,0.17538461538461536
Wilkes County,16.7,18.1,-1.4000000000000021,0.1323076923076923
Graham County,16.8,15.2,1.6000000000000014,0.1784615384615385
Duplin County,17.5,18.1,-0.6000000000000014,0.1446153846153846
McDowell County,17.6,13.9,3.700000000000001,0.2107692307692308
Randolph County,17.6,16.0,1.6000000000000014,0.1784615384615385
Bertie County,17.8,18.0,-0.1999999999999993,0.1507692307692308
Jones County,17.9,13.5,4.399999999999999,0.22153846153846152
Stokes County,18.5,10.1,8.4,0.2830769230769231
Vance County,18.5,14.6,3.9000000000000004,0.21384615384615385
Caldwell County,18.6,17.2,1.4000000000000021,0.17538461538461542
Northampton County,19.0,15.5,3.5,0.2076923076923077
Warren County,19.0,13.3,5.699999999999999,0.24153846153846154
Montgomery County,19.3,16.0,3.3000000000000007,0.20461538461538464
Surry County,19.4,17.4,2.0,0.18461538461538463
Stanly County,19.7,12.9,6.799999999999999,0.25846153846153846
Person County,19.8,10.9,8.9,0.2907692307692308
Burke County,20.2,14.9,5.299999999999999,0.2353846153846154
Wilson County,20.3,15.6,4.700000000000001,0.22615384615384618
Perquimans County,20.4,13.3,7.099999999999998,0.26307692307692304
Beaufort County,20.6,11.9,8.700000000000001,0.2876923076923077
Bladen County,20.6,11.4,9.200000000000001,0.2953846153846154
Davidson County,20.7,12.3,8.399999999999999,0.28307692307692306
Rutherford County,20.7,13.4,7.299999999999999,0.2661538461538462
Cleveland County,21.1,12.5,8.600000000000001,0.2861538461538462
Hoke County,21.3,11.1,10.200000000000001,0.3107692307692308
Swain County,21.3,12.9,8.4,0.2830769230769231
Wayne County,21.3,13.6,7.700000000000001,0.27230769230769236
Rowan County,21.5,11.9,9.6,0.30153846153846153
Lee County,21.6,14.9,6.700000000000001,0.2569230769230769
Nash County,21.7,13.6,8.1,0.2784615384615385
Avery County,21.9,13.6,8.299999999999999,0.2815384615384615
Ashe County,22.4,12.5,9.899999999999999,0.3061538461538461
Alleghany County,22.8,16.9,5.900000000000002,0.24461538461538468
Yancey County,23.0,11.9,11.1,0.32461538461538464
Mitchell County,23.1,10.3,12.8,0.35076923076923083
Harnett County,23.9,11.3,12.599999999999998,0.3476923076923077
Granville County,24.0,13.4,10.6,0.316923076923077
Cherokee County,24.2,8.6,15.6,0.39384615384615385
Franklin County,24.4,12.3,12.099999999999998,0.33999999999999997
Chowan County,24.5,12.6,11.9,0.33692307692307694
Macon County,24.6,10.0,14.600000000000001,0.3784615384615385
Catawba County,24.9,12.5,12.399999999999999,0.3446153846153846
Pamlico County,25.4,10.0,15.399999999999999,0.39076923076923076
Camden County,25.8,7.0,18.8,0.4430769230769231
Craven County,26.0,8.2,17.8,0.4276923076923077
Gaston County,26.0,11.9,14.1,0.3707692307692308
Onslow County,26.1,6.8,19.3,0.4507692307692308
Davie County,26.8,9.3,17.5,0.42307692307692313
Pasquotank County,26.9,10.0,16.9,0.41384615384615386
Lincoln County,27.0,10.0,17.0,0.4153846153846154
Cumberland County,27.2,7.4,19.799999999999997,0.4584615384615384
Johnston County,27.6,10.5,17.1,0.41692307692307695
Alamance County,27.7,11.5,16.2,0.4030769230769231
Currituck County,29.3,6.1,23.200000000000003,0.5107692307692309
Haywood County,29.4,8.4,21.0,0.47692307692307695
Pender County,29.8,9.5,20.3,0.4661538461538462
Jackson County,30.0,10.2,19.8,0.4584615384615385
Clay County,31.4,10.1,21.299999999999997,0.4815384615384615
Madison County,31.5,9.1,22.4,0.49846153846153846
Carteret County,32.3,7.3,24.999999999999996,0.5384615384615384
Polk County,32.9,8.1,24.799999999999997,0.5353846153846153
Brunswick County,33.2,6.7,26.500000000000004,0.5615384615384615
Iredell County,33.3,8.8,24.499999999999996,0.5307692307692308
Pitt County,33.9,9.1,24.799999999999997,0.5353846153846153
Henderson County,35.1,8.9,26.200000000000003,0.5569230769230771
Forsyth County,36.9,10.1,26.799999999999997,0.5661538461538461
Cabarrus County,37.7,8.2,29.500000000000004,0.6076923076923078
Guilford County,38.1,9.7,28.400000000000002,0.5907692307692308
Transylvania County,38.6,6.2,32.4,0.6523076923076923
Union County,39.0,9.6,29.4,0.6061538461538462
Moore County,40.9,7.3,33.6,0.6707692307692308
Dare County,42.8,4.8,38.0,0.7384615384615385
Buncombe County,44.6,7.7,36.9,0.7215384615384616
New Hanover County,44.8,6.4,38.4,0.7446153846153847
Watauga County,47.7,7.6,40.1,0.7707692307692309
Chatham County,48.0,9.6,38.4,0.7446153846153847
Mecklenburg County,48.6,9.2,39.400000000000006,0.7600000000000001
Durham County,53.5,9.3,44.2,0.8338461538461539
Wake County,56.3,6.0,50.3,0.9276923076923077
Orange County,61.8,6.8,55.0,1.0
Suggested Citation:,,,,
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/31/2026. Available from https://hdpulse.nimhd.nih.gov,,,,
Notes:,,,,
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity.",,,,
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).,,,,
