County,county_fips,obesity_rate,ambulatory_disability,nursing_home_density,score_H,health_category
Orange,37135,28.802380952380954,4.035238095238095,1.0,0.8772417865329084,High
Onslow,37133,34.40222222222222,7.780222222222222,0.0,0.8174086165506217,High
Chatham,37037,30.931578947368422,5.741052631578947,3.0,0.8126657923684041,High
Haywood,37087,33.339999999999996,9.598,0.0,0.8125868671360756,High
Union,37179,33.99375,4.942291666666667,2.0,0.8092681930302371,High
Madison,37115,35.2,8.811428571428571,0.0,0.8027043538399354,High
Jackson,37099,34.733333333333334,5.7188888888888885,2.0,0.7970083182517227,Medium
Watauga,37189,33.34615384615385,5.2069230769230765,3.0,0.7961128961684841,Medium
Currituck,37053,34.4,6.301111111111111,2.0,0.7954050597087992,Medium
Yancey,37199,35.660000000000004,9.440000000000001,0.0,0.7939660354939089,Medium
Graham,37075,35.23333333333333,10.11,0.0,0.7924892598670988,Medium
Carteret,37031,34.43333333333333,9.048333333333334,1.0,0.7907787797326683,Medium
Lincoln,37109,35.105555555555554,8.318888888888889,1.0,0.7906113624168225,Medium
Iredell,37097,33.47391304347826,6.453260869565218,3.0,0.785490174865979,Medium
Lee,37105,38.11875,7.821875,0.0,0.7853249025005735,Medium
Alexander,37003,36.81428571428571,9.414285714285715,0.0,0.78429698312699,Medium
Transylvania,37175,34.016666666666666,6.340833333333333,3.0,0.7817109899353533,Medium
Henderson,37089,30.813793103448276,7.806551724137932,4.0,0.7812109421668716,Medium
Davie,37059,34.1,8.921000000000001,2.0,0.7779348356774372,Medium
Beaufort,37013,37.51538461538461,9.925384615384615,0.0,0.7743963044561277,Medium
Cabarrus,37025,34.12765957446808,5.727234042553191,4.0,0.7687878682065324,Medium
Rockingham,37157,37.690909090909095,10.542272727272728,0.0,0.7681787433335955,Medium
Craven,37049,37.09230769230769,9.171923076923077,1.0,0.7671074106803897,Medium
Cleveland,37045,38.854166666666664,9.75,0.0,0.7642948914025997,Medium
Rowan,37159,37.690322580645166,9.028064516129032,1.0,0.7630962607240831,Medium
Montgomery,37123,38.51,10.314,0.0,0.7629235710378175,Medium
Johnston,37101,35.237735849056605,7.471132075471699,3.0,0.7626310910712735,Medium
Nash,37127,38.76,8.7828,1.0,0.7558292598278834,Medium
Mitchell,37121,37.375,12.7175,0.0,0.7542448279716002,Medium
Catawba,37035,37.91470588235294,7.829411764705882,2.0,0.7536779022407134,Medium
Duplin,37061,39.63333333333333,10.68,0.0,0.7505236243708371,Medium
Gaston,37071,35.830588235294115,8.823882352941176,3.0,0.7472194765636327,Medium
Franklin,37069,39.56875,9.14375,1.0,0.7461566770195469,Medium
Wilson,37195,39.488,9.2952,1.0,0.7456887077134841,Medium
Cherokee,37039,35.275,9.91,3.0,0.7436625372791924,Medium
Granville,37077,36.806666666666665,8.300666666666666,3.0,0.74287796346296,Medium
Wilkes,37193,38.294444444444444,11.336666666666666,1.0,0.7402789133920128,Medium
Caswell,37033,39.65,9.865,1.0,0.7399468238422128,Medium
Caldwell,37027,33.43684210526315,10.286842105263158,4.0,0.7398249050547381,Medium
Chowan,37041,40.05,7.835,2.0,0.7353847918541656,Medium
McDowell,37111,35.449999999999996,10.858333333333334,3.0,0.7349148926574941,Medium
Hyde,37095,41.3,11.135000000000002,0.0,0.7327992188281245,Medium
Randolph,37151,39.98823529411764,8.314117647058824,2.0,0.7322488760446738,Medium
Perquimans,37143,37.95,11.0375,2.0,0.7288439479767767,Medium
Pender,37141,37.57333333333334,9.343333333333334,3.0,0.7283519704786051,Medium
Pamlico,37137,36.65,12.665,2.0,0.7275095440615056,Medium
Harnett,37085,36.92857142857143,8.081428571428571,4.0,0.7268458925031533,Medium
Gates,37073,39.166666666666664,12.633333333333333,1.0,0.722908394656502,Medium
Richmond,37153,43.372727272727275,10.19818181818182,0.0,0.7222474627154599,Medium
Stanly,37167,36.69411764705882,11.16,3.0,0.7219745593192012,Medium
Yadkin,37197,36.65555555555555,9.092222222222222,4.0,0.721449808465179,Medium
Camden,37029,35.45,10.82,4.0,0.7185413615214029,Medium
Avery,37011,36.94,9.422,4.0,0.716496844136211,Medium
New Hanover,37129,32.199999999999996,6.021698113207547,8.0,0.7163451535745683,Medium
Polk,37149,35.6625,8.754999999999999,5.0,0.7158495391203581,Medium
Dare,37055,32.410000000000004,5.965,8.0,0.7149838530361586,Medium
Vance,37181,43.64166666666667,10.8525,0.0,0.7149452552239889,Medium
Wayne,37191,40.79666666666667,9.743,2.0,0.7144125230635898,Medium
Brunswick,37019,32.96511627906977,7.807209302325583,7.0,0.7128185360879546,Medium
Hertford,37091,42.8375,12.04,0.0,0.7127376456609079,Medium
Pasquotank,37139,39.78,9.244,3.0,0.7102511749930883,Medium
Person,37145,39.05714285714286,10.35,3.0,0.7079718438631034,Medium
Davidson,37057,36.50952380952381,9.116190476190477,5.0,0.705847990810138,Medium
Hoke,37093,38.86363636363637,10.962727272727273,3.0,0.7049402115816431,Medium
Swain,37173,39.64,14.810000000000002,1.0,0.7022178104834678,Medium
Greene,37079,42.96,9.378,2.0,0.698713654625561,Low
Northampton,37131,43.13,11.61,1.0,0.6968591949459121,Low
Stokes,37169,37.66153846153846,11.724615384615387,4.0,0.6927217170215741,Low
Tyrrell,37177,42.0,15.62,0.0,0.6925194557679073,Low
Bertie,37015,43.66,13.940000000000001,0.0,0.6911784048329128,Low
Surry,37171,40.995652173913044,10.742173913043478,3.0,0.688404428823053,Low
Alleghany,37005,36.333333333333336,10.37,6.0,0.6810993268667048,Low
Ashe,37009,36.51111111111111,10.997777777777777,6.0,0.6747792333247713,Low
Halifax,37083,42.9625,12.60125,2.0,0.6740440497408839,Low
Alamance,37001,38.56216216216216,6.704594594594594,7.0,0.6734122470185787,Low
Columbus,37047,41.42666666666666,10.224666666666668,4.0,0.672011262678847,Low
Sampson,37163,41.635000000000005,8.4985,5.0,0.6667639896235904,Low
Moore,37125,32.88275862068966,7.496551724137931,10.0,0.6658980504982831,Low
Anson,37007,44.18888888888889,10.2,3.0,0.6652578187448571,Low
Bladen,37017,41.6,11.068181818181818,4.0,0.6640794091585558,Low
Clay,37043,35.95,11.625,7.0,0.6581120111058171,Low
Robeson,37155,47.98,11.596,1.0,0.655513261686696,Low
Wake,37183,29.367248908296943,4.29764192139738,14.0,0.6537405829285002,Low
Lenoir,37107,43.63529411764706,14.489411764705881,3.0,0.6371882068513784,Low
Pitt,37147,40.25714285714285,7.847380952380952,8.0,0.6335196627694908,Low
Scotland,37165,45.3,11.292222222222222,4.0,0.6307422374639626,Low
Burke,37023,36.62857142857143,11.54857142857143,9.0,0.6195633723162973,Low
Martin,37117,41.166666666666664,13.843333333333334,6.0,0.6132281574814266,Low
Buncombe,37021,31.512307692307694,6.976307692307692,15.0,0.5982562862752392,Low
Mecklenburg,37119,29.56831683168317,4.159438943894389,19.0,0.5697455604173014,Low
Macon,37113,34.94,9.504,14.0,0.5662971394285916,Low
Durham,37063,37.04029850746269,5.15,15.0,0.5649743017314999,Low
Edgecombe,37065,43.949999999999996,10.574285714285713,10.0,0.5477707694156421,Low
Warren,37185,44.128571428571426,12.74,9.0,0.5463499374373428,Low
Forsyth,37067,42.09894736842105,6.973578947368421,13.0,0.5411263865630512,Low
Washington,37187,43.725,14.112499999999999,9.0,0.5393037393897684,Low
Rutherford,37161,37.92727272727273,12.780000000000001,14.0,0.5157132765529187,Low
