County,county_fips,prepper_density,covid_compliance,grid_independence,score_I,infrastructure_category
Mecklenburg,37119,44.83718543046358,71.96867549668875,4.920728476821192,0.616537308248575,High
Buncombe,37021,40.38215384615385,61.89984615384615,23.938923076923075,0.6100031836874545,High
Durham,37063,44.280895522388064,69.90970149253731,7.1852238805970154,0.60771557125757,High
Wake,37183,43.72192982456141,70.90776315789473,5.923026315789474,0.5959294231317727,High
Cabarrus,37025,41.314255319148934,57.778510638297874,22.226382978723407,0.5756399191550908,High
Hoke,37093,42.00272727272727,57.693636363636365,16.061818181818182,0.5348455506354575,High
Hyde,37095,42.155,56.53,16.485,0.5308627401439192,High
Harnett,37085,41.09321428571428,56.801785714285714,15.9975,0.5103334237245036,High
Johnston,37101,40.89660377358491,57.06660377358491,15.875094339622642,0.5081516895388817,High
Pitt,37147,35.56095238095238,56.72571428571429,26.24404761904762,0.4985493830465747,High
Guilford,37081,38.1888,68.17888,7.96992,0.49125360952435293,High
Greene,37079,40.998000000000005,55.564,15.184000000000001,0.49083691097247983,High
Tyrrell,37177,39.04,58.37,15.97,0.4875866130922816,High
Gaston,37071,39.83564705882353,56.678823529411765,15.995294117647058,0.48696835626210655,High
Dare,37055,34.114,56.815,27.761000000000003,0.48657598333166874,High
Avery,37011,38.690000000000005,57.5,16.490000000000002,0.47812287127566594,Medium
Anson,37007,39.26444444444444,57.26888888888888,15.204444444444444,0.4753605808592587,Medium
Granville,37077,38.568,57.702666666666666,15.860666666666667,0.4724184243998359,Medium
Orange,37135,35.319761904761904,63.73595238095238,16.285714285714285,0.47173645198956027,Medium
Jackson,37099,31.625555555555554,57.471111111111114,30.493333333333332,0.4714637087489382,Medium
Iredell,37097,39.0245652173913,60.11152173913044,12.274565217391304,0.47136284434962405,Medium
Alexander,37003,38.035714285714285,57.93428571428571,16.43285714285714,0.46988705717135776,Medium
Union,37179,38.899166666666666,56.776875,15.733125,0.4690340324839781,Medium
Forsyth,37067,37.66389473684211,64.93926315789473,9.460315789473684,0.4660143292398234,Medium
Camden,37029,37.72,58.09,16.145,0.4632326558270482,Medium
Currituck,37053,37.882222222222225,57.14888888888889,16.616666666666664,0.4617996157601042,Medium
Franklin,37069,38.368125,57.01,15.718125,0.46156262401571985,Medium
New Hanover,37129,37.84056603773585,56.896981132075474,16.25943396226415,0.45581332825478577,Medium
Pender,37141,38.272666666666666,56.407333333333334,15.841333333333333,0.45560083118310973,Medium
Cumberland,37051,39.19432098765432,56.02160493827161,14.222592592592592,0.4547979824914371,Medium
McDowell,37111,37.265,57.93833333333333,15.889166666666668,0.4516726187396825,Medium
Lincoln,37109,37.36,57.51888888888888,16.06888888888889,0.4511773604900906,Medium
Lee,37105,37.6975,56.981875,15.791875,0.45006786640901086,Medium
Alamance,37001,37.42108108108108,56.80567567567567,16.12864864864865,0.4464739633334888,Medium
Caldwell,37027,36.607894736842105,58.08631578947369,16.085789473684212,0.44301169613649843,Medium
Burke,37023,37.06,57.10952380952381,16.128571428571426,0.4427615079642714,Medium
Rowan,37159,37.37483870967743,56.349999999999994,16.235806451612902,0.44254396513744193,Medium
Davidson,37057,37.36619047619048,56.90690476190476,15.651666666666667,0.44235364997970206,Medium
Pasquotank,37139,36.888,56.753,16.607999999999997,0.4406342058617311,Medium
Randolph,37151,37.01441176470588,56.81941176470588,16.03205882352941,0.43857774462691584,Medium
Wayne,37191,36.949666666666666,57.28033333333334,15.681000000000001,0.43852267988475957,Medium
Swain,37173,36.495000000000005,57.1775,16.6225,0.4375444596761995,Medium
Scotland,37165,36.48888888888889,57.650000000000006,15.997777777777777,0.43631068958070013,Medium
Stanly,37167,37.27823529411765,56.29588235294118,15.72,0.43598601293465045,Medium
Columbus,37047,36.28933333333334,57.03,16.600666666666665,0.43241765074579164,Medium
Montgomery,37123,36.058,57.595000000000006,16.415,0.4317330327285049,Medium
Onslow,37133,36.52666666666667,57.022444444444446,15.695333333333332,0.4288813229981985,Medium
Henderson,37089,34.13034482758621,45.91241379310345,32.22379310344827,0.428511018105927,Medium
Cleveland,37045,36.21791666666667,56.88666666666666,16.298333333333336,0.427327405638676,Medium
Nash,37127,36.6128,56.5704,15.7176,0.42660740779910916,Medium
Watauga,37189,28.550769230769234,51.25230769230769,38.08307692307692,0.42648799124232234,Medium
Rockingham,37157,35.930454545454545,57.31136363636363,16.199545454545454,0.42514775050845016,Medium
Wilson,37195,36.2584,56.8484,15.750399999999999,0.4230637978734654,Medium
