GEOID,prepper_density,covid_compliance,grid_independence,score_I
37025041603,41.45,56.97,22.15,0.5702640913907865
37001020702,36.98,57.58,18.19,0.4629620191792825
37027030600,36.88,61.79,14.89,0.47036547642420734
37027031402,36.97,54.89,15.94,0.4199928138340136
37031970103,32.02,53.2,16.93,0.3258481521882251
37031970504,32.35,59.57,16.6,0.38508146181947767
37031970606,33.06,55.35,14.85,0.3455988114751054
37001020701,37.34,56.96,14.79,0.4350573331190317
37035010101,37.09,50.83,17.48,0.39935377624586377
37035010600,36.67,52.54,17.79,0.4096288608381468
37047930800,36.74,55.1,18.27,0.43751605518030245
37049960302,34.89,56.64,18.71,0.42207891822339993
37049960404,34.53,57.9,16.2,0.4055525784471428
37049961301,35.06,54.98,15.53,0.38350139314965664
37051001200,39.43,54.6,16.03,0.46174493104101894
37051001401,38.77,55.31,15.07,0.4481899124199342
37059080500,34.68,54.14,14.53,0.3608920311358663
37021003205,39.92,61.15,22.45,0.5825920179851622
37023020203,37.44,57.24,16.74,0.4558199704076244
37023020204,36.98,56.2,15.73,0.42994556200478395
37037020801,33.71,56.46,15.96,0.3763014083442313
37037020802,33.46,56.96,17.61,0.39026686537019706
37009970701,34.01,55.69,17.14,0.3848184679107659
37061090600,34.52,58.38,17.99,0.4247764011447615
37043950102,27.49,59.87,13.1,0.2720387478268963
37017950102,34.12,56.07,16.38,0.3836779854526394
37017950200,34.57,57.97,17.04,0.4139955533934464
37061090804,34.78,56.52,13.71,0.376707489114652
37009970502,33.61,57.73,15.02,0.37776868988165546
37067002901,37.82,68.13,7.74,0.4823457213847808
37011930200,39.27,58.02,16.03,0.4890792821013809
37067003906,37.4,61.45,11.44,0.44733928225220426
37019020206,28.54,54.91,19.03,0.2971212781936892
37019020409,28.39,56.47,14.78,0.27221534938193387
37007920200,39.41,56.56,16.79,0.4851189968890309
37063002009,44.86,71.99,7.84,0.6418646706875099
37063002020,44.24,68.62,7.58,0.5989605833877388
37063002100,43.88,67.03,7.6,0.5787323625384947
37063002013,43.89,70.28,7.46,0.6063903413071531
37071031800,40.13,53.49,18.53,0.48552840514845874
37067003002,37.97,64.52,10.65,0.47781525729054786
37073970100,33.87,59.57,14.41,0.39343270214230114
37065020900,33.97,53.18,17.19,0.36239413907460494
37063001706,44.42,67.44,8.34,0.5981781772886613
37019020405,28.86,51.94,16.47,0.2548973521186113
37063002026,44.41,69.87,8.7,0.6224857271221984
37051003004,39.64,55.27,14.28,0.456544260599653
37051003314,39.31,58.8,14.3,0.48200896659440434
37073970200,33.94,58.91,16.18,0.4038476716351649
37079950102,41.53,57.99,12.97,0.5028939338847841
37021003003,40.54,62.29,23.88,0.6157395725252715
37081011500,38.42,68.79,7.0,0.49251859252632546
37035011601,36.37,50.28,14.22,0.35413434906211805
37037020703,33.64,58.71,18.15,0.4134649481338618
37061090505,34.36,54.78,16.76,0.3797676466662996
37087920300,34.98,58.67,15.96,0.4182769567567415
37081012508,37.96,70.37,7.15,0.4995831969315814
37081012617,38.85,68.42,8.44,0.5090682310603718
37087920501,34.87,56.65,17.49,0.41147584903852663
37081012706,38.58,68.8,6.76,0.49340560535766886
37051001702,38.36,50.28,13.99,0.3874130007177822
37067001800,37.43,65.6,10.3,0.47481677393621524
37081014502,38.18,67.77,5.1,0.4631739975078674
37083931102,34.69,56.9,15.91,0.397107051850806
37089930501,34.46,47.41,31.36,0.4402373379707458
37045951503,36.7,56.85,15.8,0.43131549150448156
37095920101,42.23,54.72,15.25,0.5057606577264487
37109070800,37.17,56.72,16.21,0.44196284777513994
37059080302,34.93,57.14,18.89,0.42872251120893146
37089931401,34.0,46.23,31.51,0.42295687754403566
37111970903,36.76,57.32,16.44,0.44194615365085016
37113970100,31.03,59.08,18.99,0.3776431680876653
37119001923,44.44,69.83,4.17,0.5842806426810205
37123960202,36.35,57.35,18.72,0.4542716116969825
37117970500,33.07,59.58,16.01,0.3929161345837039
37101040101,41.15,53.53,18.67,0.5051237649446422
37125950403,35.19,57.36,17.13,0.4203529177266938
37051001603,39.28,54.83,14.46,0.4478155191870462
37049961302,34.81,56.26,15.9,0.39350135780680734
37133002400,36.45,55.19,15.06,0.4059774841484207
37125950702,35.63,56.66,16.11,0.4133248310150407
37119006224,44.57,75.68,6.35,0.6566543330958188
37129011705,37.72,54.47,15.98,0.4299037418002053
37119005860,44.71,69.66,4.53,0.590611065280738
37051003317,38.6,53.4,13.62,0.4160469864993021
37051003105,39.44,59.45,15.49,0.5001267348133915
37049960501,34.27,56.08,17.84,0.39879231404988247
37125951101,35.41,56.95,15.0,0.40258314679494633
37135012101,35.64,63.19,15.0,0.46169568001945227
37081012611,38.32,66.11,8.57,0.4804117869577164
37085071101,41.53,56.53,18.29,0.5350928529910267
37071033306,39.75,61.92,17.72,0.5462966031653752
37077970703,38.39,59.78,14.12,0.4728419951879742
37083930901,34.36,55.29,15.6,0.37443734868575895
37137950203,31.46,58.3,14.6,0.3411779225499193
37085071203,40.48,55.34,15.6,0.48321614136432645
37159051002,36.74,53.45,18.41,0.4241481799555087
37147001800,35.2,59.04,23.87,0.49245763990593316
37155961301,36.0,59.32,13.57,0.4218158841390989
37171930804,35.15,59.09,14.76,0.41482325455217167
37171930901,35.41,56.06,16.43,0.40684933586260896
37071033501,40.45,56.67,16.93,0.5056858489453877
37171931102,35.42,58.5,16.66,0.43049762919754825
37089931402,34.47,46.78,33.76,0.45519287113420615
37167931002,36.83,56.21,13.36,0.4072970893881945
37089930800,34.0,42.76,33.78,0.41158316112162824
37081016201,37.62,68.23,7.53,0.4779079798834476
37161960302,35.43,59.16,17.1,0.4402244792816069
37081016407,38.52,65.6,6.01,0.45776245323321557
37183053712,42.84,72.28,6.01,0.5931582788285491
37183051502,43.92,71.66,6.35,0.6096887556069326
37081016203,38.22,69.5,9.73,0.5183724952083528
37179020321,38.5,58.74,13.62,0.4613791697252064
37169070503,34.78,55.61,16.05,0.3885078222016612
37179020702,38.84,53.77,14.37,0.42991403116872007
37085071004,40.94,55.93,16.76,0.5063922167403374
37183053211,43.82,72.78,7.17,0.6247456624512923
37171930202,35.61,55.92,17.93,0.42186460112539415
37179020902,39.6,55.61,15.2,0.46663048933198814
37071032510,39.68,53.36,17.39,0.46675632586254523
37183052407,43.19,74.51,8.04,0.6362246469195045
37081016900,38.19,69.65,5.54,0.4836620719017084
37071030902,39.91,58.54,16.92,0.5125365670149731
37193961202,35.68,58.94,17.44,0.44559036033151156
37183054112,44.12,72.15,5.61,0.6112812126114306
37003040300,38.08,56.51,14.18,0.4390190772387258
37067003003,38.33,64.67,10.41,0.48347761435192116
37071030206,39.21,56.14,14.2,0.4559284304956881
37119005834,44.58,77.27,4.73,0.65712974284695
37097061201,38.64,61.11,11.94,0.4705276103494406
37119005530,44.71,71.07,6.07,0.6160968537910703
37097060902,38.41,60.93,11.06,0.4574120083190455
37109070500,37.72,54.98,14.97,0.42584441484152535
37119005513,44.79,75.01,5.15,0.644471206827031
37119005859,44.16,70.68,6.51,0.6066487354442945
37087921301,34.79,58.0,19.43,0.43840547321248724
37109071102,37.56,59.13,13.74,0.44919589675717136
37067003004,38.02,65.77,9.47,0.4797279089075478
37067003103,38.6,65.19,7.37,0.46708562666412096
37077970601,40.06,57.02,17.53,0.5069530927227925
37071031901,40.01,56.89,14.59,0.4800102604487584
37081014406,37.61,66.85,6.99,0.46098292930691076
37119001926,43.83,71.1,4.12,0.5842608723735367
