GEOID,vehicle_access,transit_dependence,road_density,score_M
37001020100,89.77,10.23,100.0,0.9318
37001020200,92.39,7.61,100.0,0.9492666666666666
37001020300,96.15,3.85,100.0,0.9743333333333333
37001020301,95.25,4.75,100.0,0.9683333333333334
37001020302,89.75,10.25,100.0,0.9316666666666666
37001020400,96.87,3.13,100.0,0.9791333333333332
37001020501,94.89,5.11,100.0,0.9659333333333333
37001020502,83.37,16.63,100.0,0.8891333333333333
37001020601,100.0,0.0,100.0,1.0
37001020602,98.15,1.85,100.0,0.9876666666666667
37001020701,92.64,7.36,100.0,0.9509333333333332
37001020702,93.68,6.32,100.0,0.9578666666666666
37001020801,97.33,2.67,100.0,0.9822
37001020802,90.12,9.88,100.0,0.9341333333333333
37001020901,92.04,7.96,100.0,0.9469333333333333
37001020902,99.14,0.86,100.0,0.9942666666666666
37001021000,90.89,9.11,100.0,0.9392666666666667
37001021101,97.89,2.11,100.0,0.9859333333333333
37001021102,95.36,4.64,100.0,0.9690666666666666
37001021201,96.9,3.1,100.0,0.9793333333333333
37001021204,98.59,1.41,100.0,0.9905999999999999
37001021205,98.44,1.56,100.0,0.9896
37001021206,96.98,3.02,100.0,0.9798666666666667
37001021207,93.85,6.15,100.0,0.9589999999999999
37001021300,96.53,3.47,90.0,0.9734653061224489
37001021400,93.83,6.17,90.0,0.955465306122449
37001021500,99.23,0.77,90.0,0.991465306122449
37001021600,94.16,5.84,100.0,0.9610666666666666
37001021701,96.15,3.85,100.0,0.9743333333333333
37001021702,99.32,0.68,100.0,0.9954666666666665
37001021703,96.84,3.16,100.0,0.9789333333333332
37001021801,98.51,1.49,90.0,0.9866653061224491
37001021802,97.69,2.31,90.0,0.9811986394557822
37001021803,93.02,6.98,90.0,0.9500653061224489
37001021901,97.4,2.6,90.0,0.979265306122449
37001021902,97.03,2.97,90.0,0.9767986394557823
37001022001,99.03,0.97,90.0,0.9901319727891155
37001022002,99.0,1.0,90.0,0.9899319727891155
37003040100,96.36,3.64,80.0,0.968930612244898
37003040200,97.72,2.28,90.0,0.9813986394557822
37003040300,93.19,6.81,90.0,0.9511986394557823
37003040400,96.15,3.85,90.0,0.9709319727891157
37003040500,99.31,0.69,90.0,0.9919986394557823
37003040600,99.52,0.48,90.0,0.9933986394557822
37003040700,98.02,1.98,100.0,0.9867999999999999
37005950100,94.67,5.33,10.0,0.9338544217687075
37005950200,89.62,10.38,10.0,0.9001877551020407
37005950300,97.58,2.42,10.0,0.9532544217687073
37007920100,95.14,4.86,90.0,0.9641986394557822
37007920200,94.18,5.82,10.0,0.9305877551020408
37007920300,96.15,3.85,90.0,0.9709319727891157
37007920301,96.28,3.72,100.0,0.9751999999999998
37007920302,98.69,1.31,100.0,0.9912666666666665
37007920400,85.77,14.23,90.0,0.9017319727891155
37007920500,96.15,3.85,90.0,0.9709319727891157
37007920501,92.06,7.94,100.0,0.9470666666666665
37007920502,90.6,9.4,100.0,0.9373333333333334
37007920600,84.32,15.68,90.0,0.8920653061224488
37009970200,94.96,5.04,30.0,0.9425904761904762
37009970300,93.78,6.22,30.0,0.9347238095238095
37009970400,93.69,6.31,40.0,0.9375251700680272
37009970500,96.15,3.85,40.0,0.9539251700680272
37009970501,95.34,4.66,100.0,0.9689333333333333
37009970502,85.51,14.49,100.0,0.9034
37009970700,96.15,3.85,30.0,0.9505238095238095
37009970701,100.0,0.0,100.0,1.0
37009970702,100.0,0.0,100.0,1.0
37009970800,96.15,3.85,30.0,0.9505238095238095
37009970801,94.75,5.25,100.0,0.965
37009970802,96.1,3.9,100.0,0.974
