station,latitude,longitude,elevation,name,annual_precip,precip_norm,elev_norm,lat_norm,long_norm,coastal_penalty,survivability,survivability_category
US1NCAG0001,36.459,-81.1525,946.1,"SPARTA 3.5 SSW, NC US",56.25,0.46676680435598944,0.8099683137792242,0.97279418615485,0.3559531223461468,0.6440468776538533,0.7964043614326076,High
US1NCCB0008,35.3647,-80.655,193.9,"CONCORD 4.5 SW, NC US",46.99,0.119038678182501,0.1657960092489509,0.46301127364203704,0.41228556870293814,0.5877144312970619,0.29965225147581864,Low
US1NCCD0014,36.0546,-81.4843,477.9,"LENOIR 10.6 NNE, NC US",52.56,0.3282012767555389,0.4090091633124946,0.7844032423367178,0.3183830606352255,0.6816169393647745,0.5405387750685946,Medium
US1NCCH0004,35.6486,-79.3361,173.1,"GOLDSTON 3.8 N, NC US",48.94,0.19226436349981213,0.14798321486683222,0.5952669337557065,0.5616259978486099,0.4383740021513901,0.29902253880200313,Low
US1NCCH0016,35.7721,-78.9981,89.6,"APEX 9.2 WNW, NC US",48.3,0.16823131806233557,0.0764751220347692,0.6527997763905709,0.5998980920568427,0.40010190794315725,0.25823573858018556,Low
US1NCCH0017,35.7915,-79.1074,112.5,"PITTSBORO 6.2 NE, NC US",49.46,0.21179121291776193,0.09608632354200565,0.6618373241404998,0.5875219385155412,0.41247806148445876,0.28276217591841,Low
US1NCCK0007,35.1404,-84.2961,502.6,"MURPHY 15.5 WNW, NC US",58.43,0.5486293653773938,0.4301618566412606,0.35852045094568025,0.0,1.0,0.6060163373068308,Medium
US1NCCM0006,34.8806,-78.86,43.6,"HOPE MILLS 8.3 SE, NC US",48.93,0.19188884716485163,0.03708144215123748,0.23749184757290534,0.6155352997791996,0.38446470022080037,0.17902965004692753,Low
US1NCCM0058,34.9696,-78.9438,33.2,"HOPE MILLS 0.6 ESE, NC US",46.03,0.08298911002628617,0.02817504496017813,0.27895276250815115,0.6060465379607094,0.3939534620392906,0.15546840677074142,Low
US1NCCM0086,35.0195,-78.7125,39.0,"STEDMAN 1.0 NW, NC US",47.63,0.14307172361997755,0.033142074162884304,0.30219882605049764,0.6322368793523179,0.36776312064768213,0.17122141602354762,Low
US1NCCN0009,35.1387,-77.0739,4.9,"NEW BERN 1.3 NNE, NC US",56.99,0.49455501314307176,0.003939367988353173,0.35772850088511954,0.8177772745286767,0.18222272547132334,0.21571225750697712,Low
US1NCCN0020,34.8957,-76.9161,6.4,"HAVELOCK 1.4 SW, NC US",59.75,0.5981975215921892,0.005223944506294425,0.24452622752259173,0.8356451338957145,0.1643548661042855,0.2217112600004404,Low
US1NCCN0061,35.0746,-77.1373,2.1,"NEW BERN 4.6 SW, NC US",57.03,0.49605707848291397,0.0015414918215295025,0.3278673250722045,0.8105984260884341,0.18940157391156587,0.2118454290746371,Low
US1NCCN0067,35.0906,-77.0897,5.2,"TRENT WOODS 1.0 NNE, NC US",57.42,0.5107022155463763,0.004196283291941424,0.33532097270101535,0.8159882239710139,0.1840117760289861,0.21687419664351432,Low
US1NCCR0001,34.7857,-76.8633,9.1,"NEWPORT 0.2 SW, NC US",61.16,0.6511453248216296,0.007536182238588677,0.1932824000745346,0.8416237332276519,0.15837626677234806,0.22722203569035151,Low
US1NCCR0009,34.7971,-76.6708,2.1,"BEAUFORT 5.3 N, NC US",61.25,0.6545249718362748,0.0015414918215295025,0.1985931240100614,0.863420709958671,0.13657929004132896,0.22150681547960846,Low
US1NCCR0012,34.73,-76.74,4.0,"MOREHEAD CITY 0.6 NW, NC US",58.45,0.5493803980473151,0.0031686220775884216,0.16733438926674477,0.8555851214402999,0.14441487855970014,0.19291254465257474,Low
US1NCCR0016,34.7302,-76.8314,10.1,"MOREHEAD CITY 6.0 WNW, NC US",59.12,0.5745399924896731,0.008392566583882845,0.16742755986210794,0.845235803657363,0.15476419634263705,0.2038982546622033,Low
US1NCCR0020,34.7315,-76.5176,2.1,"HARKERS ISLAND 3.2 NE, NC US",64.13,0.762673676304919,0.0015414918215295025,0.16803316873194557,0.8807677065051239,0.11923229349487607,0.24049059899576158,Low
US1NCCR0045,34.7345,-76.7725,4.9,"MOREHEAD CITY 2.4 WNW, NC US",61.11,0.6492677431468268,0.003939367988353173,0.16943072766234718,0.8519051123818161,0.1480948876181839,0.21932020645387212,Low
US1NCCR0073,34.6985,-76.7939,3.4,"PINE KNOLL SHORES 1.4 E, NC US",58.24,0.541494555013143,0.002654791470411921,0.15266002049753108,0.8494819679556145,0.15051803204438552,0.1897036439719985,Low
US1NCCR0074,34.8024,-76.8642,8.2,"NEWPORT 1.0 N, NC US",61.57,0.6665414945550131,0.0067654363278239265,0.20106214478710338,0.8415218252844937,0.1584781747155063,0.23187304846383203,Low
US1NCCR0098,34.7254,-77.0981,8.8,"SWANSBORO 3.0 NE, NC US",61.57,0.6665414945550131,0.007279266935000428,0.16519146557346404,0.8150370831682048,0.18496291683179522,0.23204631030863213,Low
US1NCCS0002,36.251,-79.2382,210.0,"MEBANE 11.2 N, NC US",48.31,0.16860683439729635,0.179583797208187,0.8758967669803389,0.5727113174432423,0.42728868255675767,0.34878585876181994,Low
US1NCCV0026,35.3396,-81.533,268.5,"SHELBY 3.5 N, NC US",47.13,0.124295906871949,0.22968228140789584,0.45131836392434305,0.31286870859989774,0.6871312914001022,0.35103913029060707,Low
US1NCCY0003,35.054,-83.728,714.1,"HAYESVILLE 5.2 E, NC US",65.73,0.8227562898986106,0.6112871456709772,0.31827075375011626,0.06432655834229765,0.9356734416577024,0.7462079467041991,High
US1NCDH0006,35.9914,-78.931,113.1,"DURHAM 1.2 NW, NC US",49.96,0.23056702966579046,0.09660015414918215,0.7549613342029239,0.6074958953745121,0.3925041046254879,0.29768685554657487,Low
US1NCDH0022,36.071,-78.9633,117.7,"DURHAM 6.8 NNW, NC US",49.17,0.2009012392039054,0.10053952213753532,0.7920432311562451,0.6038385325256181,0.39616146747438186,0.29853384903805713,Low
US1NCDH0034,36.0347,-78.9806,154.2,"DURHAM 5.2 NW, NC US",49.66,0.21930153961697318,0.13179755074077243,0.7751327680983875,0.6018796353960262,0.3981203646039738,0.3166181484101824,Low
US1NCDH0048,36.0448,-78.9222,107.3,"DURHAM 4.5 N, NC US",49.97,0.23094254600075095,0.09163312494647598,0.7798378831640734,0.6084923285965008,0.3915076714034992,0.2988294157287366,Low
US1NCDP0003,35.1763,-78.1018,48.2,"MOUNT OLIVE 2.4 SW, NC US",51.08,0.2726248591813743,0.04102081013959065,0.37524457281281803,0.701387080337429,0.298612919662571,0.20467588971957582,Low
US1NCDR0051,35.5805,-75.4646,2.1,"RODANTHE 1.0 SSE, NC US",54.78,0.4115659031167856,0.0015414918215295025,0.5635423460355904,1.0,0.0,0.1881935735952997,Low
US1NCDS0007,35.8408,-80.0933,256.3,"THOMASVILLE 3.5 SSW, NC US",46.43,0.09800976342470895,0.219234392395307,0.6848038758967666,0.4758874483383344,0.5241125516616656,0.3416627287706789,Low
US1NCDS0013,35.96,-80.2988,256.3,"CLEMMONS 6.5 SE, NC US",45.97,0.08073601201652265,0.219234392395307,0.7403335507313885,0.45261846798392114,0.5473815320160789,0.35032753821470825,Low
US1NCDV0001,35.9519,-80.6946,256.6,"SHEFFIELD 1.3 SW, NC US",50.43,0.24821629740893725,0.21949130769889527,0.7365601416193048,0.40780161920398633,0.5921983807960136,0.4007234256037804,Medium
US1NCDV0002,35.9414,-80.4134,254.5,"ADVANCE 0.2 ESE, NC US",48.39,0.17161096507698084,0.2176929005737775,0.7316686853628992,0.4396421898884678,0.5603578101115322,0.3735710563828753,Low
