onemap_sdeadmin_colluniv_area,objectid,id,metlnkid,feattype,secclass,name,phone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergphone,emergext,contdate,conthow,geodate,geohow,naicscode,naicsdescr,geolinkid,x,y,st_vendor,st_version,geoprec,phoneloc,qc_qa,degree,enroll
919,1,10275649, ,POINT,UNCLASSIFIED,SCHOOL OF COMMUNICATION ARTS,488-8500,3000 WAKEFIELD CROSSING DRIVE, ,RALEIGH,NC,27614, ,WAKE,37183, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611610,FINE ARTS SCHOOLS (EXCEPT ACADEMIC),112129750,-78.5562419,35.9427849,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,298
336,2,10274288, ,POINT,UNCLASSIFIED,WILKES COMMUNITY COLLEGE,838-6100,1328 SOUTH COLLEGIATE DR, ,WILKESBORO,NC,28697,2102,WILKES,37193, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,124774949,-81.180501,36.1385877,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,2617
910,3,10274275, ,POINT,UNCLASSIFIED,SANDHILLS COMMUNITY COLLEGE,692-6185,3395 AIRPORT RD, ,PINEHURST,NC,28374,8778,MOORE,37125, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125043330,-79.408172,35.2223862,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,3636
336,4,10274264, ,POINT,UNCLASSIFIED,PIEDMONT BAPTIST COLLEGE,725-8344,716 FRANKLIN ST, ,WINSTON SALEM,NC,27101,5133,FORSYTH,37067, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,THEOLOGICAL SEMINARIES OFFERING BACCALAUREATE OR GRADUATE DEGREES,17057030,-80.2498452,36.0878547,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,378
910,5,10274259, ,POINT,UNCLASSIFIED,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,962-3000,601 SOUTH COLLEGE ROAD, ,WILMINGTON,NC,28403,3201,NEW HANOVER,37129, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,125444152,-77.8791389,34.2267532,NAVTEQ,2006Q4,BLOCKFACE, , ,DOCTOR'S DEGREE,11839
252,6,10274250, ,POINT,UNCLASSIFIED,NASH COMMUNITY COLLEGE,443-4011,522 N. OLD CARRIAGE ROAD, ,ROCKY MOUNT,NC,27804,9708,NASH,37127, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125363756,-77.9056379,36.0114137,NAVTEQ,2006Q4,BLOCKFACE, , ,"AT LEAST 2, BUT LESS THAN 4 ACADEMIC YRS",2491
704,7,10274247, ,POINT,UNCLASSIFIED,MITCHELL COMMUNITY COLLEGE,878-3200,500 W BROAD STREET, ,STATESVILLE,NC,28677,5264,IREDELL,37097, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,102525536,-80.8937969,35.7829609,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,2283
252,8,10274243, ,POINT,UNCLASSIFIED,MARTIN COMMUNITY COLLEGE,792-1521,1161 KEHUKEE PK RD, ,WILLIAMSTON,NC,27892,8307,MARTIN,37117, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125356749,-77.0955936,35.83799,NAVTEQ,2006Q4,BLOCKFACE, , ,"AT LEAST 2, BUT LESS THAN 4 ACADEMIC YRS",956
919,9,10274242, ,POINT,UNCLASSIFIED,LOUISBURG COLLEGE,496-2521,501 N. MAIN ST., ,LOUISBURG,NC,27549,2335,FRANKLIN,37069, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102367056,-78.2979145,36.1038764,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,733
336,10,10274238, ,POINT,UNCLASSIFIED,JOHN WESLEY COLLEGE,889-2262,2314 N CENTENNIAL ST, ,HIGH POINT,NC,27265,3136,GUILFORD,37081, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),17073508,-79.9995772,35.9932324,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,140
