County,Pub_Count,Non_Pup_Count,Uni_Count,Total
BEAUFORT,15,4,1,20
UNION,53,23,1,77
PITT,36,18,2,56
MOORE,25,13,1,39
HAYWOOD,16,5,1,22
JOHNSTON,45,8,1,54
NEW HANOVER,43,24,3,70
BRUNSWICK,20,7,1,28
NASH,28,9,2,39
BLADEN,13,3,1,17
IREDELL,47,18,1,66
DAVIDSON,46,11,1,58
MARTIN,12,0,1,13
FRANKLIN,16,3,1,20
BERTIE,8,2,0,10
CARTERET,18,8,1,27
PASQUOTANK,12,8,3,23
LENOIR,19,9,1,29
CALDWELL,26,2,1,29
CAMDEN,5,0,0,5
SAMPSON,23,8,1,32
BUNCOMBE,53,34,5,92
CHATHAM,19,10,0,29
CUMBERLAND,106,38,3,147
CURRITUCK,11,4,0,15
DURHAM,65,45,4,114
DARE,11,3,0,14
PENDER,16,4,0,20
EDGECOMBE,16,2,1,19
ROCKINGHAM,27,13,1,41
TRANSYLVANIA,10,4,1,15
HENDERSON,24,18,1,43
GATES,5,0,0,5
GASTON,58,14,2,74
HERTFORD,7,4,2,13
LEE,16,5,1,22
CASWELL,6,0,0,6
CHOWAN,4,2,0,6
ALAMANCE,39,17,2,58
ONSLOW,35,20,1,56
COLUMBUS,25,2,1,28
CLEVELAND,29,5,2,36
JONES,6,0,0,6
ALEXANDER,10,2,0,12
BURKE,28,6,1,35
ROBESON,43,11,2,56
RICHMOND,17,6,1,24
NORTHAMPTON,9,2,0,11
HARNETT,27,9,2,38
ORANGE,34,8,1,43
CRAVEN,25,12,1,38
ANSON,11,3,1,15
TYRRELL,3,0,0,3
YANCEY,9,3,0,12
RANDOLPH,39,9,1,49
WARREN,9,1,0,10
WASHINGTON,6,0,0,6
AVERY,12,2,2,16
HALIFAX,19,6,1,26
CABARRUS,47,19,2,68
CATAWBA,44,13,2,59
HOKE,13,9,0,22
PERSON,12,2,1,15
PERQUIMANS,4,0,0,4
ALLEGHANY,4,0,0,4
ASHE,5,0,0,5
STOKES,20,3,0,23
DAVIE,12,5,0,17
STANLY,22,10,2,34
GRANVILLE,20,2,0,22
DUPLIN,16,8,1,25
GREENE,6,1,0,7
MADISON,7,4,1,12
SCOTLAND,14,4,1,19
LINCOLN,25,6,0,31
MCDOWELL,12,3,1,16
MITCHELL,7,2,0,9
WILSON,26,15,2,43
MONTGOMERY,11,3,1,15
WAYNE,32,12,2,46
VANCE,18,6,1,25
POLK,7,2,0,9
YADKIN,14,4,0,18
ROWAN,35,13,4,52
RUTHERFORD,20,7,1,28
WATAUGA,10,3,1,14
SURRY,27,4,1,32
PAMLICO,5,2,1,8
WILKES,23,2,1,26
HYDE,3,1,0,4
WAKE,184,98,9,291
FORSYTH,85,33,7,125
GUILFORD,129,45,8,182
MECKLENBURG,171,112,12,295
CHEROKEE,18,2,1,21
CLAY,3,1,0,4
GRAHAM,3,0,0,3
MACON,11,3,0,14
SWAIN,6,2,0,8
JACKSON,10,3,2,15
