X,Y,FID,County,SchoolName,Address,City,State,ZipCode,Website,Contact
1496530.94928513,477148.938283563,1,Union,Abundant Life Christian Academy,4224 Blanchard Cir.,Indian Trail,NC,28079,https://www.abundantlifenc.academy,mailto:a.guzman@abundantlifenc.academy
809642.249246389,652339.188624144,2,Haywood,Academy at SOAR,112 Virginia Ave. Bldg. B,Waynesville,NC,28786,https://www.academyatsoar.org,mailto:joe@soarnc.org
2211568.84499389,88910.4834628105,3,Brunswick,Academy of Coastal Carolina,434 Mt. Pisgah Rd SW,Supply,NC,28462,https://www.theacademyofcoastalcarolina.org,mailto:lhall@theacademyofcoastalcarolina.org
1623119.54387647,819443.587682396,4,Davidson,ABC of NC Child Develop. Ctr,905 Friedberg Church Rd.,Winston-Salem,NC,27127,https://www.abcofnc.org,mailto:leighellen.spencer@abcofnc.org
1438425.96411739,742827.980743304,5,Iredell,Academy of Excellence,612 South Race Street,Statesville,NC,28677,https://www.aoe.org,mailto:aofexcellence@yahoo.com
2665181.98369755,366046.062392637,6,Carteret,A Sea of Learning,4723 Country Club Road,Morehead City,NC,28557,https://www.aseaoflearning.org,mailto:info@aseaoflearning.org
2157765.67996264,701312.690742567,7,Johnston,Academy of Hope,408 Covered Bridge Road,Clayton,NC,27520,https://www.houseofhopeofnc.org,mailto:Monica@houseofhopeofnc.org
2204373.90039431,459723.730351895,8,Sampson,Academy of Unique Learners,340 Northeast Blvd,Clinton,NC,28328,,mailto:Clinton.Admin@academyofunique.com
2018910.73260747,472335.170352057,9,Cumberland,Academy of Unique Learners,937 South McPherson Church Road,Fayetteville,NC,28314,,mailto:Jazzmine.Admin@academyofunique.com
2088198.94573681,756297.234316558,10,Wake,Academy31,3504 Edwards Mill Rd,Raleigh,NC,27612,https://www.academy31.org,mailto:kwilson@academy31.org
2054006.15323013,762016.429242983,11,Wake,Accelerator School LLC,111-100 Competition Center Drive,Morrisville,NC,27560,https://www.acceleratorschool.com,mailto:jackie.avallone@acceleratorschool.com
1445385.40361056,644633.818208143,12,Mecklenburg,Adaptive Learning Academy,709 Northeast Drive Suite 23,Davidson,NC,28036,https://www.adaptivelearningclt.com,mailto:syrondamills@adaptivelearningclt.com
1465588.72737706,581293.633537054,13,Mecklenburg,Advance IB Academy,3509 David cox rd #M,charlotte,NC,28269,,mailto:records@advanceib.org
1466055.85800447,524629.173047304,14,Mecklenburg,Adventist Christian Academy,4601 Emory Lane,Charlotte,NC,28211,https://www.adventistchristianacademy.org,mailto:acaoffice@adventistchristianacademy.org
2435996.73307946,274051.104650646,15,Pender,Acton Academy Topsail,226 Ocean Highway,Holly Ridge,NC,28445,https://www.actontopsail.com,mailto:nick@actontopsail.com
1796468.87007739,939685.359665558,16,Rockingham,Agape Christian Academy,1431 Freeway Drive,Reidsville,NC,27320,,mailto:anthony0346@yahoo.com
1992642.00430514,766062.808289304,17,Chatham,AHOP Christian Leadership Academy  Inc.,50101 Governors Drive,Chapel Hill,NC,27517,https://www.myacla.org,mailto:admin@myacla.org
2024501.04294914,490642.392267734,18,Cumberland,Agape Achievement Academy,3421 Murchison Rd. Suite-O,Fayetteville,NC,28311,https://www.agapeachieveacademy.com,mailto:taylordoris412@gmail.com
2596487.58630972,926059.018151894,19,Hertford,Ahoskie Christian School,500-504 Kiwanis Street,Ahoskie,NC,27910,https://www.ahoskiechristianschool.com,mailto:ahoskiefwb@gmail.com
2027011.3318918,805351.34027639,20,Durham,AL QALAM TRIANGLE ACADEMY,3034 Fayetteville Street,Durham,NC,27707,,mailto:ADMIN@AQTA.ORG
2082250.6662948,727710.320689976,21,Wake,Adventist Christian Academy of Raleigh (Formerly Raleigh SDA),4805-B Dillard Drive,Raleigh,NC,27606,https://www.acaraleigh.com,mailto:principal@acaraleigh.com
2800824.79869747,931093.056312144,22,Pasquotank,Albemarle School,1210 US HWY 17 S,Elizabeth City,NC,27909,https://www.thealbemarleschool.org,mailto:t.simpson@thealbemarleschool.org
1889822.05541788,846177.594581723,23,Alamance,Alamance Christian School,1336 Town Branch Road,Graham,NC,27253,https://www.alamancechristianschool.org,mailto:mloflin@alamancechristianschool.org
1473669.16561247,526448.856087729,24,Mecklenburg,ALC Mosaic,6100 Monroe Road,Charlotte,NC,28212,https://www.alcmosaic.org,mailto:info@alcmosaic.org
1474741.17593564,517119.48891972,25,Mecklenburg,Alexander Children's Center,6220 Thermal Road,Charlotte,NC,28211,https://www.alexanderyouthnetwork.org,mailto:lshinhoster@alexanderyouthnetwork.org
1449440.21931981,469561.836331815,26,Union,Accelerate Academy,16721 Orchard Stone Run Suite 101,Charlotte,NC,28277,https://www.acceleratenc.com,mailto:Denise@acceleratenc.com
1763554.37783563,835518.453498483,27,Guilford,Alex. Youth Net. Struc Day Sch,309 Concord Street  Suite 201,Greensboro,NC,27406,https://www.youthfocus.org,mailto:mnichols@youthfocus.org
1307803.17549472,766345.612185642,28,Alexander,Alexander Christian Academy,3919 Icard Ridge Road ,Hickory,NC,28601,https://www.alexanderchristianacademy.com,mailto:agettler@alexanderchristianacademy.com
1785292.05319221,855130.898197398,29,Guilford,Alexander Youth Network School,1601 Huffine Mill Road,Greensboro,NC,27405,https://www.alexanderyouthnetwork.org,mailto:aleach@aynkids.org
2026225.07296564,780583.201820642,30,Durham,Al-Huda Academy,5104 Revere Road,Durham,NC,27713,https://www.alhudaacademy.net,mailto:administration@alhudaacademy.net
1872054.97776313,852310.938942313,31,Alamance,ALAMANCE ACADEMY DAY,106 S Broad Street,Burlington,NC,27215,https://www.alamanceacademyday.org,mailto:virgilla@alamanceacademyday.org
2091320.85386306,742383.802497804,32,Wake,Al-Iman School,3020 Ligon Street,Raleigh,NC,27607,https://www.alimanschool.org,mailto:principal@alimancrescent.org
2131240.06076989,765322.681816816,33,Wake,Al-Huda Academy at N.Raleigh,5017 Deah Way,Raleigh,NC,27616,https://www.nr.alhudaacademy.net/,mailto:mervat.zaghloul@alhudaacademy.net
934930.749981225,626519.687113643,34,Henderson,All Saints Parochial School,15 McDowell Rd,Mills River,NC,28759,https://www.allsaintsparochialschool.org,mailto:school@allsaintsmillsriver.org
2129882.79445556,797239.032354057,35,Wake,Alpha Raleigh,12600 Spruce Tree Way,Raleigh,NC,27614,,mailto:auth.permitting@trilogy.com
1710842.59644839,794210.550550148,36,Guilford,Amandla Academy,2757 Granville Street,High Point,NC,27263,,mailto:kmarcusbrandon@gmail.com
2418668.42259181,549525.868004471,37,Lenoir,Ambleside Preparatory Academy,1003 W. New Bern Road,Hookerton,NC,28538,https://www.Www.amblesideprep.org,mailto:amblesideprepacademy@gmail.com
1770167.57753572,859406.606181398,38,Guilford,American Leadership Academy,900 16th St,Greensboro,NC,27405,https://americanleadershipacademy.online/north-car,mailto:syed.kamal@americanleadershipacademy.online
1445820.71573205,513760.271228731,39,Mecklenburg,Anami Montessori School,2901 Archdale Drive,Charlotte,NC,28210,https://www.anamimontessori.org,mailto:office@anamimontessori.org
2026586.49645539,830368.020229816,40,Durham,AMIR INSTITUTE,2400 BROAD STREET,DURHAM,NC,27704,,mailto:admin@amirinstitute.org
2091583.32512289,742525.484629139,41,Wake,An-Noor School,808 Atwater Street,Raleigh,NC,27607,http://annoorquranacademy.org/,mailto:office@annoorquranacademy.org
2053271.2006318,784885.225368813,42,Orange,Al-Iman School - Page Rd,3104 Page Rd,Morrisville,NC,27560,,mailto:maher.alhertani@alimancrescent.org
2628274.71925764,416785.20238398,43,Craven,Annunciation Catholic School,246 E. Main Street,Havelock,NC,28532,https://www.annunciationcatholicnc.org,mailto:principal@acsnc.net
1598265.05421548,449822.33972165,44,Union,Anderson Academy,1915 Hasty Road  Marshville 28103,Marshville,NC,28103,,mailto:ahill@andersonhs.com
1653866.95416631,477752.161486566,45,Anson,Apogee Anson,1012 Red Hill - Mt. Vernon Rd.,Wadesboro,NC,28170,https://www.apogeeanson.com,mailto:info@apogeeanson.com
