X,Y,objectid,lea_school,ptmoved,comments,reviewed,school_nam,principal,street_lon,phys_addr,phys_city,phys_zip,phone,mail_addr,mail_city,mail_zip,fax,url_addres,county,accr_stat,sch_desg,sch_type,sch_ptype,sch_ctype,ext_hours,num_teach,bgn_grade,end_grade,pre_k,elem,middle,high,early_coll
785821.4102,201698.585000001,1,70310,"yes, 2012",across town,1,B C Ed Tech Center,Willard Bryant,820 North Bridge St,820 North Bridge St,Washington,27899,2529465382,820 North Bridge St, ,0,2529467964,http://beaufort.etc.schoolfusion.us/,Beaufort, ,Public,Alternative Education,Cooperative Innovative HS,Traditional,-,9,06,12, , ,yes,yes, 
810380.345200002,174896.7084,2,70340,"yes, 2012",down the street,1,S W Snowden Elementary,Melissa Dana,6921 NC 306 North,693 North 7th Street,Aurora,27806,2523225351,693 North 7th Street, ,0,2523224372,http://beaufort.sws.schoolfusion.us/,Beaufort,SA,Public,Regular School,None,Traditional,-,15,PK,08,yes,yes,yes, , 
782515.187299997,195663.578299999,3,70326, , , ,Chocowinity Primary,Alicia Vosburgh,606 Gray Road,606 Gray Road,Chocowinity,27817,2529463881,606 Gray Road, ,0,2529464869,http://beaufort.cps.schoolfusion.us/,Beaufort,SA,Public,Regular School,None,Traditional,-,33,PK,04,yes,yes, , , 
808252.374799997,193633.7346,4,70308, ,point verified,1,Bath Elementary,Pamela Hodges,110 S King Street,110 S King Street,Bath,27808,2529233251,110 S King Street, ,0,0,http://beaufort.bath.schoolfusion.us/,Beaufort,SA,Public,Regular School,None,Traditional,-,39,KG,08, , ,yes, , 
752035.937600002,187506.921999998,5,740309, , , ,AydenGrifton High,Marty Baker,7653 NC 11 South,7653 NC 11 South,Ayden,28513,2527464183,7653 NC 11 South,Ayden,28513,2527462120,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,48,09,12, , , ,yes, 
751662.875100002,192113.5625,6,740308, , , ,Ayden Middle,Jeff Theus,192 Third St,192 Third St,Ayden,28513,2527463672,192 Third St,Ayden,28513,2527469923,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,26,06,08, , ,yes, , 
754622.812399998,198028.203299999,7,740302, , , ,A G Cox Middle,Tracy Cole,2657 Church Street,2657 Church Street,Winterville,28590,2527563105,PO Box 1489,Winterville,28590,2527561081,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,50,06,08, , ,yes, , 
757929.999799997,205991.859299999,8,740338, ,point verified,1,Elmhurst Elementary,Donna Gillam,1815 W Berkley Rd,1815 W Berkley Rd,Greenville,27858,2527560180,1815 W Berkley Rd,Greenville,27858,2527560513,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,27,KG,05, ,yes, , , 
746522.0625,214003.8281,9,740334, , , ,Falkland Elementary,Shammah Barrett,503 NC 121,503 NC 121,Greenville,27834,2527527820,503 NC 121,Greenville,27834,2527523017,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,27,KG,05, ,yes, , , 
766304.875200003,191503.296700001,10,740332, , , ,Chicod Elementary,Seth Brown,7557 NC 43 South,7557 NC 43 South,Greenville,27834,2527466742,7557 NC 43 South,Greenville,27834,2527464751,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,66,PK,08,yes,yes,yes, , 
