"GEO_ID","NAME","B25044_001E","B25044_001M","B25044_002E","B25044_002M","B25044_003E","B25044_003M","B25044_004E","B25044_004M","B25044_005E","B25044_005M","B25044_006E","B25044_006M","B25044_007E","B25044_007M","B25044_008E","B25044_008M","B25044_009E","B25044_009M","B25044_010E","B25044_010M","B25044_011E","B25044_011M","B25044_012E","B25044_012M","B25044_013E","B25044_013M","B25044_014E","B25044_014M","B25044_015E","B25044_015M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied:","Margin of Error!!Total:!!Owner occupied:","Estimate!!Total:!!Owner occupied:!!No vehicle available","Margin of Error!!Total:!!Owner occupied:!!No vehicle available","Estimate!!Total:!!Owner occupied:!!1 vehicle available","Margin of Error!!Total:!!Owner occupied:!!1 vehicle available","Estimate!!Total:!!Owner occupied:!!2 vehicles available","Margin of Error!!Total:!!Owner occupied:!!2 vehicles available","Estimate!!Total:!!Owner occupied:!!3 vehicles available","Margin of Error!!Total:!!Owner occupied:!!3 vehicles available","Estimate!!Total:!!Owner occupied:!!4 vehicles available","Margin of Error!!Total:!!Owner occupied:!!4 vehicles available","Estimate!!Total:!!Owner occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available","Estimate!!Total:!!Renter occupied:","Margin of Error!!Total:!!Renter occupied:","Estimate!!Total:!!Renter occupied:!!No vehicle available","Margin of Error!!Total:!!Renter occupied:!!No vehicle available","Estimate!!Total:!!Renter occupied:!!1 vehicle available","Margin of Error!!Total:!!Renter occupied:!!1 vehicle available","Estimate!!Total:!!Renter occupied:!!2 vehicles available","Margin of Error!!Total:!!Renter occupied:!!2 vehicles available","Estimate!!Total:!!Renter occupied:!!3 vehicles available","Margin of Error!!Total:!!Renter occupied:!!3 vehicles available","Estimate!!Total:!!Renter occupied:!!4 vehicles available","Margin of Error!!Total:!!Renter occupied:!!4 vehicles available","Estimate!!Total:!!Renter occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available",
"1400000US37001020100","Census Tract 201; Alamance County; North Carolina","2004","217","859","181","28","35","230","111","311","108","211","128","70","60","9","13","1145","168","177","103","398","146","473","177","44","46","45","40","8","17",
"1400000US37001020200","Census Tract 202; Alamance County; North Carolina","1617","278","736","174","0","14","245","99","257","101","179","118","35","50","20","28","881","306","123","92","387","234","296","154","75","73","0","14","0","14",
"1400000US37001020301","Census Tract 203.01; Alamance County; North Carolina","1601","245","624","178","0","14","183","104","291","130","107","87","33","48","10","20","977","279","76","70","559","246","335","183","7","14","0","14","0","14",
"1400000US37001020302","Census Tract 203.02; Alamance County; North Carolina","1132","204","919","177","77","90","287","115","277","95","163","85","93","76","22","34","213","134","39","64","12","27","162","119","0","14","0","14","0","14",
"1400000US37001020400","Census Tract 204; Alamance County; North Carolina","2814","261","1603","290","58","49","617","246","404","171","294","193","117","98","113","105","1211","248","30","47","599","193","415","184","72","75","95","101","0","19",
"1400000US37001020501","Census Tract 205.01; Alamance County; North Carolina","1311","152","844","146","32","43","88","49","343","93","238","90","117","74","26","30","467","154","35","41","178","87","157","96","91","68","6","12","0","14",
"1400000US37001020502","Census Tract 205.02; Alamance County; North Carolina","1431","196","662","142","10","15","100","60","409","139","95","60","29","40","19","31","769","215","228","190","261","113","206","135","57","51","17","27","0","14",
"1400000US37001020601","Census Tract 206.01; Alamance County; North Carolina","1414","167","1338","171","0","14","214","72","720","161","305","114","99","39","0","14","76","44","0","14","23","22","13","22","40","33","0","14","0","14",
"1400000US37001020602","Census Tract 206.02; Alamance County; North Carolina","1243","194","919","201","12","18","483","193","210","86","169","92","28","27","17","26","324","108","11","18","278","99","35","28","0","14","0","14","0","14",
"1400000US37001020701","Census Tract 207.01; Alamance County; North Carolina","2623","301","1987","305","81","111","558","194","792","243","411","178","118","73","27","30","636","256","112","94","308","168","149","129","67","83","0","19","0","19",
"1400000US37001020702","Census Tract 207.02; Alamance County; North Carolina","2547","386","917","259","0","19","236","111","360","138","259","224","31","40","31","56","1630","320","161","163","1060","305","335","214","74","108","0","19","0","19",
