GEOID,obesity_rate,ambulatory_disability,nursing_home_density,score_H
37001020100,40.7,9.75,7.0,0.6318518714595797
37001020200,49.3,6.12,7.0,0.5861062581984813
37001020301,47.4,8.64,7.0,0.5830750995582379
37001020302,46.4,4.26,7.0,0.6251160287292428
37001020400,48.0,8.66,7.0,0.5777939541532109
37001020501,38.3,5.83,7.0,0.6823409862294928
37001020502,45.5,3.19,7.0,0.6409906412315222
37001020601,31.0,5.76,7.0,0.7452694395915318
37001020602,35.3,9.08,7.0,0.6831292168869596
37001020701,35.3,9.93,7.0,0.6766292551220288
37001020702,39.7,6.4,7.0,0.6660163763742566
37001020801,40.7,5.33,7.0,0.6656516726372197
37001020802,45.4,9.96,7.0,0.5900750583820096
37001020901,36.4,7.8,7.0,0.6835156852018518
37001020902,36.9,6.85,7.0,0.6865068440773878
37001021000,46.7,8.36,7.0,0.5911991694166505
37001021101,37.4,3.9,7.0,0.704792030635114
37001021102,38.2,6.42,7.0,0.6786839489179476
37001021201,42.9,6.35,7.0,0.6390482997158841
37001021204,37.5,5.07,7.0,0.694990323586332
37001021205,35.7,2.07,7.0,0.7333159804942324
37001021206,38.5,4.75,7.0,0.6888903594684738
37001021207,37.8,11.52,7.0,0.6431029817471663
37001021300,39.3,8.48,7.0,0.6535293910035824
37001021400,37.0,7.02,7.0,0.6843521508697008
37001021500,36.6,5.79,7.0,0.6971767813130512
37001021600,30.8,5.36,7.0,0.7500376468373715
37001021701,30.4,6.41,7.0,0.7454270857230252
37001021702,31.1,5.77,7.0,0.74433826859842
37001021703,33.3,4.99,7.0,0.7314995205910554
37001021801,35.0,6.36,7.0,0.7064931970988406
37001021802,37.7,5.87,7.0,0.687163310804054
37001021803,35.6,7.34,7.0,0.6938709184063623
37001021901,36.0,6.47,7.0,0.6971050170293116
37001021902,38.0,6.52,7.0,0.6796286492432397
37001022001,35.7,5.67,7.0,0.7057867306662902
37001022002,39.3,10.02,7.0,0.6417529896882961
37003040100,39.9,8.33,0.0,0.7662149046182082
37003040200,36.4,14.53,0.0,0.7487179487179487
37003040300,35.8,2.85,0.0,0.8431632755101441
37003040400,37.5,15.87,0.0,0.7290692407691719
37003040500,36.7,4.95,0.0,0.8194122387515368
37003040600,36.7,7.94,0.0,0.7965476673666625
37003040700,34.7,11.43,0.0,0.786953606155258
37005950100,36.8,6.54,6.0,0.7063987858894949
37005950200,36.2,12.5,6.0,0.6659507885247734
37005950300,36.0,12.07,6.0,0.670948406185846
37007920100,42.6,14.86,3.0,0.6432029811589344
37007920200,41.8,6.48,3.0,0.7141225639849178
37007920301,39.7,10.83,3.0,0.6988067717248723
37007920302,41.5,5.39,3.0,0.7250219116358139
37007920400,47.4,13.68,3.0,0.6112008164657856
37007920501,48.2,9.99,3.0,0.6325806907018194
37007920502,43.6,9.59,3.0,0.6749557355544968
