FIPS,20-Sep,County
37001,10140,Alamance
37003,2283,Alexander
37005,871,Alleghany
37007,1472,Anson
37009,1661,Ashe
37011,1059,Avery
37013,3398,Beaufort
37015,1133,Bertie
37017,2090,Bladen
37019,14671,Brunswick
37021,18038,Buncombe
37023,5906,Burke
37025,11967,Cabarrus
37027,5175,Caldwell
37029,1121,Camden
37031,8415,Carteret
37033,1465,Caswell
37035,10654,Catawba
37037,4038,Chatham
37039,2800,Cherokee
37041,1098,Chowan
37043,920,Clay
37045,6117,Cleveland
37047,3650,Columbus
37049,13156,Craven
37051,52017,Cumberland
37053,2897,Currituck
37055,3432,Dare
37057,9212,Davidson
37059,2932,Davie
37061,3319,Duplin
37063,15505,Durham
37065,2960,Edgecombe
37067,23398,Forsyth
37069,3675,Franklin
37071,13871,Gaston
37073,829,Gates
37075,544,Graham
37077,3219,Granville
37079,937,Greene
37081,29592,Guilford
37083,3112,Halifax
37085,12241,Harnett
37087,5496,Haywood
37089,9392,Henderson
37091,1201,Hertford
37093,6151,Hoke
37095,245,Hyde
37097,10606,Iredell
37099,2969,Jackson
37101,12060,Johnston
37103,843,Jones
37105,4621,Lee
37107,4238,Lenoir
37109,5207,Lincoln
37111,3126,McDowell
37113,3235,Macon
37115,1437,Madison
37117,1520,Martin
37119,51604,Mecklenburg
37121,946,Mitchell
37123,1704,Montgomery
37125,9580,Moore
37127,5438,Nash
37129,17086,New Hanover
37131,1411,Northampton
37133,30729,Onslow
37135,5615,Orange
37137,1451,Pamlico
37139,3875,Pasquotank
37141,5188,Pender
37143,1554,Perquimans
37145,2343,Person
37147,11811,Pitt
37149,1768,Polk
37151,8673,Randolph
37153,3112,Richmond
37155,7207,Robeson
37157,5556,Rockingham
37159,9496,Rowan
37161,4290,Rutherford
37163,3665,Sampson
37165,2363,Scotland
37167,3746,Stanly
37169,2961,Stokes
37171,3874,Surry
37173,974,Swain
37175,3158,Transylvania
37177,309,Tyrrell
37179,11055,Union
37181,2609,Vance
37183,54264,Wake
37185,1361,Warren
37187,753,Washington
37189,2944,Watauga
37191,12039,Wayne
37193,3713,Wilkes
37195,5228,Wilson
37197,2326,Yadkin
37199,1069,Yancey
