Geographic Area Name,age_Under 5 years,age_5 to 9 years,age_10 to 14 years,age_15 to 19 years,age_20 to 24 years,age_25 to 29 years,age_30 to 34 years,age_35 to 39 years,age_40 to 44 years,age_45 to 49 years,age_50 to 54 years,age_55 to 59 years,age_60 to 64 years,age_65 to 69 years,age_70 to 74 years,age_75 to 79 years,age_80 to 84 years,age_85 years and over,gun_ownership,active_duty_forces,veteran_population,social_community_factors_score
"Alamance County, North Carolina",0.13442084994440376,0.13973810868220807,0.14357711254262978,0.16262192935824052,0.15290823935738768,0.1096618308027807,0.11530975033269113,0.12121212121212122,0.11441150245207311,0.1229834108136029,0.139998514998515,0.1686708996832404,0.1674233566667173,0.1864530365537753,0.18632145325303584,0.19838805087252293,0.22844138270389963,0.21474001704806242,0.19424054997252238,0.0,0.18317628982395084,3.1846984070743813
"Alexander County, North Carolina",0.022482575326119383,0.0222768949477024,0.024024251610458507,0.02475057796679318,0.022894371909259793,0.020343390701626857,0.02162988857330129,0.02536085709162632,0.020084707980383414,0.025490408062753014,0.027076527076527076,0.03414123751236223,0.038325462745038494,0.03728293197735777,0.04711718827130023,0.06872966577935521,0.04102595645220814,0.04006294669202019,0.04588938243602264,0.0,0.037727466261870825,0.6467166893740869
"Alleghany County, North Carolina",0.003701895696037751,0.005323868677905945,0.003713527851458886,0.005686945986376055,0.0050890918129726055,0.002969090741556008,0.0049456770016088345,0.004437869822485207,0.002340615247436469,0.004168318377839442,0.006323631323631324,0.007840158236466051,0.012937121338658002,0.021356615177971792,0.011304176127949452,0.02295918367346939,0.014454422438184279,0.018097173955806175,0.011274576722076959,0.0,0.011588515152076121,0.18051247536196674
"Anson County, North Carolina",0.013410896862202695,0.013376892258879837,0.01471516988758368,0.013327234289811713,0.01637928778879615,0.014804500732034442,0.014131924444356169,0.013504124081047158,0.012750780205082479,0.01321368938219996,0.014293139293139294,0.02003755249466095,0.019253837860819654,0.02458025520483546,0.019029519202290453,0.024733806566104702,0.032353302989297575,0.027276899875418006,0.026042487057513993,0.0,0.02271423017827061,0.369929530654345
"Ashe County, North Carolina",0.012570173297534782,0.013054233551127961,0.014399393709738537,0.017740798892281827,0.014887882990135796,0.011712551063241632,0.01234433034738912,0.012417070109377802,0.01572670530539456,0.016348937499249223,0.01832739332739333,0.021542518883744928,0.037490319935618084,0.034078480283987335,0.04946194096159542,0.051611949127477075,0.040533891007504,0.05088190938299128,0.03390773818899705,0.0,0.026212999129935764,0.5052512169947155
"Avery County, North Carolina",0.007349551162096927,0.008174020596380845,0.005923961096374889,0.013438500624327766,0.010191266124179072,0.009818475935007627,0.007925000496553916,0.009637798099336561,0.009663397235844851,0.012456905353946689,0.012078012078012079,0.012455388496323582,0.020848201406076804,0.0158879401323995,0.027964261032678447,0.03527062999112689,0.01673022511994095,0.017113631892990623,0.020718478614707703,0.0,0.015068772098706011,0.2887144175870118
"Beaufort County, North Carolina",0.026767553494426815,0.030746686026189133,0.02682834406972338,0.02921359427349265,0.030351395902561553,0.019831478504806856,0.020259399765626553,0.02448673121750045,0.02531208203299153,0.028373394837051185,0.030603405603405603,0.039057461050036546,0.05694155518775529,0.0600978605008155,0.07947477539737388,0.08377698905649217,0.05997047607331775,0.07127401481870041,0.05745448690349928,0.0,0.05836835187619171,0.8591900365919583
"Bertie County, North Carolina",0.0075800721395058715,0.010365410986529,0.005469243400277883,0.010323043257878275,0.010910803527041523,0.009408946177551626,0.006266510417701154,0.010702438587053971,0.009574230940704413,0.008288586976107248,0.010593010593010594,0.01396035488540756,0.018798305419317613,0.01984073683200614,0.025940369236844705,0.03194321206743567,0.0172222905646451,0.024850829453806306,0.019850395712790573,0.0,0.016438660471315647,0.28832745164693085
"Bladen County, North Carolina",0.017899275892929785,0.019709069398510394,0.021687507894404445,0.02165984645245837,0.0178706925874565,0.014466638682133241,0.013734681311696823,0.017269589384974,0.016072224699063754,0.018463127800401217,0.019230769230769232,0.02830770112800814,0.028683359399911932,0.039623908663532575,0.03936716358969296,0.05187074829931973,0.03050805757165703,0.04222673923021441,0.03556689663862899,0.0,0.034154649290064606,0.5283726471458281
"Brunswick County, North Carolina",0.07228866650394598,0.07504503777795703,0.07765567765567766,0.07059230778740712,0.07824642193673303,0.06690692412437418,0.06944803066716984,0.08923928635467097,0.0691818992420865,0.08044734344781193,0.10221760221760222,0.15763447949662457,0.24724782483259183,0.3195625059963542,0.4098627702635996,0.3714507542147294,0.2817074670931234,0.19572487050029505,0.18660282056936436,0.0,0.2670541846387382,3.2881168753208563
